index,type,value,combination
7922,i32,1,i32	constant	
7923,i32,2,i32	constant	
7924,i32,4,i32	constant	
7925,i32,4,i32	constant	
7926,i32,1,i32	constant	
7927,i32,1,i32	constant	
7928,i32,3,i32	constant	
7929,i32,3,i32	constant	
7930,i32,1,i32	constant	
7931,i32,3,i32	constant	
7932,i32,3,i32	constant	
7933,i32,1,i32	constant	
7934,i32,3,i32	constant	
7935,i32,3,i32	constant	
7936,i32,4,i32	constant	
7937,,internal global _xmlNode* null,	constant	
7938,_xmlNode*,null,xml	Node*	null	
7939,i32,1,i32	constant	
7940,i32,4,i32	constant	
7941,i32,4,i32	constant	
7942,i32,4,i32	constant	
7943,i32,4,i32	constant	
7944,i32,1,i32	constant	
7945,i32,0,i32	constant	
7946,i32,1,i32	constant	
7947,,internal global i32 0,	constant	
7948,i32,0,i32	constant	
7949,i32,0,i32	constant	
7950,,internal global _xmlDoc* null,	constant	
7951,,internal global _xmlDoc* null,	constant	
7952,_xmlDoc*,null,xml	Doc*	null	
7953,i32,4,i32	constant	
7954,i32,5,i32	constant	
7955,i32,4,i32	constant	
7956,i32,5,i32	constant	
7957,i32,5,i32	constant	
7958,i32,5,i32	constant	
7959,,internal global _xmlDoc* null,	constant	
7960,,internal global _xmlDoc* null,	constant	
7961,_xmlDoc*,null,xml	Doc*	null	
7962,i32,4,i32	constant	
7963,i32,5,i32	constant	
7964,i32,4,i32	constant	
7965,i32,5,i32	constant	
7966,i32,5,i32	constant	
7967,i32,5,i32	constant	
7968,i32,0,i32	constant	
7969,i32,1,i32	constant	
7970,_xmlParserCtxt*,null,xml	Parser	Ctxt*	null	
7971,_xmlParserCtxt*,null,xml	Parser	Ctxt*	null	
7972,i32,3,i32	constant	
7973,i32,1,i32	constant	
7974,i32,3,i32	constant	
7975,i32,1,i32	constant	
7976,i32,4,i32	constant	
7977,i32,5,i32	constant	
7978,i32,1,i32	constant	
7979,i32,5,i32	constant	
7980,i32,1,i32	constant	
7981,i32,5,i32	constant	
7982,i32,4,i32	constant	
7983,i32,5,i32	constant	
7984,i32,4,i32	constant	
7985,i32,5,i32	constant	
7986,i32,5,i32	constant	
7987,i32,4,i32	constant	
7988,i32,5,i32	constant	
7989,i32,4,i32	constant	
7990,i32,5,i32	constant	
7991,i32,5,i32	constant	
7992,i32,5,i32	constant	
7993,_xmlElementContent*,null,xml	Element	Content*	null	
7994,,internal global i32 0,	constant	
7995,i32,0,i32	constant	
7996,_xmlElementContent*,null,xml	Element	Content*	null	
7997,i32,0,i32	constant	
7998,i32,2,i32	constant	
7999,i32,5,i32	constant	
8000,i32,3,i32	constant	
8001,i32,2,i32	constant	
8002,i32,5,i32	constant	
8003,i32,5,i32	constant	
8004,i32,3,i32	constant	
8005,i32,2,i32	constant	
8006,i32,5,i32	constant	
